index,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
183,Madden NFL 2004,PS2,,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,94.0,29.0,8.5,140.0,EA Tiburon,E
377,FIFA Soccer 2004,PS2,,Sports,Electronic Arts,0.59,2.36,0.04,0.51,3.49,84.0,20.0,6.4,76.0,EA Canada,E
456,LEGO Batman: The Videogame,Wii,,Action,Warner Bros. Interactive Entertainment,1.8,0.97,0.0,0.29,3.06,74.0,17.0,7.9,22.0,Traveller's Tales,E10+
475,wwe Smackdown vs. Raw 2006,PS2,,Fighting,,1.57,1.02,0.0,0.41,3.0,,,,,,
609,Space Invaders,2600,,Shooter,Atari,2.36,0.14,0.0,0.03,2.53,,,,,,
627,Rock Band,X360,,Misc,Electronic Arts,1.93,0.33,0.0,0.21,2.47,92.0,72.0,8.2,178.0,Harmonix Music Systems,T
657,Frogger's Adventures: Temple of the Frog,GBA,,Adventure,Konami Digital Entertainment,2.15,0.18,0.0,0.07,2.39,73.0,4.0,tbd,,Konami Computer Entertainment Hawaii,E
678,LEGO Indiana Jones: The Original Adventures,Wii,,Action,LucasArts,1.51,0.61,0.0,0.21,2.34,78.0,22.0,6.6,28.0,Traveller's Tales,E10+
719,Call of Duty 3,Wii,,Shooter,Activision,1.17,0.84,0.0,0.23,2.24,69.0,42.0,6.7,61.0,Exakt,T
805,Rock Band,Wii,,Misc,MTV Games,1.33,0.56,0.0,0.2,2.08,80.0,21.0,6.3,37.0,Harmonix Music Systems,T
1131,Call of Duty: Black Ops,PC,,Shooter,Activision,0.58,0.81,0.0,0.23,1.63,81.0,29.0,5.2,1651.0,Treyarch,M
1142,Rock Band,PS3,,Misc,Electronic Arts,0.99,0.41,0.0,0.22,1.62,92.0,35.0,8.4,107.0,Harmonix Music Systems,T
1301,Triple Play 99,PS,,Sports,,0.81,0.55,0.0,0.1,1.46,,,,,,
1506,Adventure,2600,,Adventure,Atari,1.21,0.08,0.0,0.01,1.3,,,,,,
1538,LEGO Batman: The Videogame,PSP,,Action,Warner Bros. Interactive Entertainment,0.57,0.44,0.0,0.27,1.28,73.0,5.0,7.4,10.0,Traveller's Tales,E10+
1585,Combat,2600,,Action,Atari,1.17,0.07,0.0,0.01,1.25,,,,,,
1609,LEGO Harry Potter: Years 5-7,Wii,,Action,Warner Bros. Interactive Entertainment,0.69,0.42,0.0,0.12,1.24,76.0,8.0,7.8,13.0,Traveller's Tales,E10+
1650,NASCAR Thunder 2003,PS2,,Racing,Unknown,0.6,0.46,0.0,0.16,1.22,84.0,16.0,8.7,17.0,EA Sports,E
